Squad,Poss,Cmp,Att,Sh,Mid 3rd,Att 3rd,Rk,MP,Pressures,pAdj,pAdj_Pressures,ppS,pAdj_Pressures90,img_link
Liverpool,62.8,15648,18898,446,1920,1424,1,29,3344,1.564899553,5233.024105,35.08520179,180.4491071,https://tmssl.akamaized.net/images/wappen/small/31.png?lm=1456567819
Manchester City,66,17404,19977,530,1715,1300,2,28,3015,1.66403677,5017.070862,32.83773585,179.1811022,https://tmssl.akamaized.net/images/wappen/small/281.png?lm=1467356331
Leicester City,56.7,12993,15846,399,2308,1115,3,29,3423,1.323006318,4528.650628,32.56390977,156.1603665,https://tmssl.akamaized.net/images/wappen/small/1003.png?lm=1472229265
Chelsea,60,15462,18433,478,2296,1250,4,29,3546,1.462117157,5184.66744,32.34728033,178.7816358,https://tmssl.akamaized.net/images/wappen/small/631.png?lm=1444558831
Manchester Utd,54.7,12651,15496,417,2221,1125,5,29,3346,1.230767513,4118.148098,30.3381295,142.0051068,https://tmssl.akamaized.net/images/wappen/small/985.png?lm=1457975903
Wolves,46.9,10396,13306,364,2348,897,6,29,3245,0.846229478,2746.014655,28.56043956,94.69016053,https://tmssl.akamaized.net/images/wappen/small/543.png?lm=1467496784
Sheffield Utd,43.5,8964,12223,288,2078,1188,7,28,3266,0.685979075,2240.407658,31.125,80.01455921,https://tmssl.akamaized.net/images/wappen/small/350.png?lm=1409254138
Tottenham,52.7,12182,15193,347,2247,990,8,29,3237,1.13418581,3671.359467,35.10662824,126.5986023,https://tmssl.akamaized.net/images/wappen/small/148.png?lm=1544345801
Arsenal,55.7,12516,15087,310,2037,938,9,28,2975,1.27752635,3800.640892,40.37419355,135.7371747,https://tmssl.akamaized.net/images/wappen/small/11.png?lm=1489787850
Burnley,40.2,7204,10500,298,2097,1216,10,29,3313,0.545783567,1808.180959,24.17449664,62.35106754,https://tmssl.akamaized.net/images/wappen/small/1132.png?lm=1587809239
Crystal Palace,44.4,9060,11966,284,2063,912,11,29,2975,0.727094919,2163.107385,31.90140845,74.58990984,https://tmssl.akamaized.net/images/wappen/small/873.png?lm=1457723287
Everton,49.8,9982,13080,383,2140,1152,12,29,3292,0.990000333,3259.081097,26.06266319,112.3821068,https://tmssl.akamaized.net/images/wappen/small/29.png?lm=1445949846
Newcastle Utd,36.9,7588,10438,298,1996,832,13,29,2828,0.424973688,1201.82559,25.46308725,41.44226174,https://tmssl.akamaized.net/images/wappen/small/762.png?lm=1472921161
Southampton,47.7,8971,12371,372,2400,1380,14,29,3780,0.885504291,3347.206219,24.1155914,115.4209041,https://tmssl.akamaized.net/images/wappen/small/180.png?lm=1444560086
Brighton,55.8,12959,15980,371,1918,1086,15,29,3004,1.282134813,3851.532977,34.92991914,132.811482,https://tmssl.akamaized.net/images/wappen/small/1237.png?lm=1492718902
West Ham,44,9497,12646,298,2370,1016,16,29,3386,0.708687388,2399.615494,31.86912752,82.74536187,https://tmssl.akamaized.net/images/wappen/small/379.png?lm=1464675260
Watford,42.7,8786,11969,323,2347,1160,17,29,3507,0.650389455,2280.915818,27.20123839,78.65226959,https://tmssl.akamaized.net/images/wappen/small/1010.png?lm=1468103673
Bournemouth,44.7,9379,12440,295,2289,1176,18,29,3465,0.741033776,2567.682034,31.79322034,88.5407598,https://tmssl.akamaized.net/images/wappen/small/989.png?lm=1457991811
Aston Villa,45.7,8851,11700,340,1903,971,19,28,2874,0.788252663,2265.438154,26.03235294,80.90850549,https://tmssl.akamaized.net/images/wappen/small/405.png?lm=1469443765
Norwich City,50.2,11373,14176,335,2190,972,20,29,3162,1.009999667,3193.618946,33.94925373,110.1247912,https://tmssl.akamaized.net/images/wappen/small/1123.png?lm=1457723273
