Squad,Poss,# Pl,Live,Rk,MP,total_mins_in_possession,ppm
Arsenal,55.7,27,13651,9,28,935.76,14.58814226
Aston Villa,45.7,28,10235,19,28,767.76,13.33098885
Bournemouth,44.7,25,11042,18,29,777.78,14.19681658
Brighton,55.8,24,14574,15,29,970.92,15.0105055
Burnley,40.2,21,9074,10,29,699.48,12.97249385
Chelsea,60,26,16985,4,29,1044,16.26915709
Crystal Palace,44.4,24,10470,11,29,772.56,13.55234545
Everton,49.8,23,11593,12,29,866.52,13.37880257
Leicester City,56.7,21,14377,3,29,986.58,14.57256381
Liverpool,62.8,23,17467,1,29,1092.72,15.98488176
Manchester City,66,22,18782,2,28,1108.8,16.93903319
Manchester Utd,54.7,28,14064,5,29,951.78,14.77652399
Newcastle Utd,36.9,27,9068,13,29,642.06,14.12329066
Norwich City,50.2,26,12752,20,29,873.48,14.59907496
Sheffield Utd,43.5,22,10871,7,28,730.8,14.87547893
Southampton,47.7,23,10860,14,29,829.98,13.08465264
Tottenham,52.7,29,13791,8,29,916.98,15.03958647
Watford,42.7,25,10634,17,29,742.98,14.31263291
West Ham,44,28,11232,16,29,765.6,14.67084639
Wolves,46.9,20,11951,6,29,816.06,14.64475651
