Rk,Squad,GF,xG,GA_home,xGA_home,GA_away,xGA_away,Poss,xGA,pAdj_xGA,pAdj_xGA_home,pAdj_xGA_away,pAdj,img_link,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dri,Att_dri,Past_dri,Press,Succ_pres,Def 3rd_pres,Mid 3rd_pres,Att 3rd_pres,Blocks,Sh_block,ShSv_block,Pass_block,Int_block,Clr_block,Err_block
1,Liverpool,66,56.5,12,14.9,9,14.4,62.8,29.3,45.8515569,23.31700334,22.53455356,1.564899553,https://tmssl.akamaized.net/images/wappen/small/31.png?lm=1456567819,483,302,186,204,93,181,493,312,4608,1462,1265,1919,1424,387,62,1,325,260,733,7
2,Manchester City,71,65.3,12,10.6,19,15.6,66,26.2,43.59776337,17.63878976,25.95897361,1.66403677,https://tmssl.akamaized.net/images/wappen/small/281.png?lm=1467356331,436,275,175,177,84,175,509,334,3949,1198,934,1715,1300,341,51,0,290,267,499,9
3,Leicester City,58,47.1,15,18.4,13,17,56.7,35.4,46.83442366,24.34331625,22.49110741,1.323006318,https://tmssl.akamaized.net/images/wappen/small/1003.png?lm=1472229265,595,368,287,230,78,227,631,404,5112,1546,1689,2308,1115,461,85,2,376,329,820,9
4,Chelsea,51,50.2,15,9.8,24,18.3,60,28.1,41.08549211,14.32874814,26.75674397,1.462117157,https://tmssl.akamaized.net/images/wappen/small/631.png?lm=1444558831,597,371,282,242,73,182,495,313,4949,1504,1403,2296,1250,449,80,2,369,356,729,7
5,Manchester Utd,44,44.3,12,11.5,18,17.9,54.7,29.4,36.18456488,14.1538264,22.03073848,1.230767513,https://tmssl.akamaized.net/images/wappen/small/985.png?lm=1457975903,488,287,232,190,66,166,501,335,4892,1394,1546,2221,1125,487,88,0,399,278,710,6
6,Wolves,30,33.7,17,14.1,17,13.8,46.9,27.9,23.60980244,11.93183564,11.6779668,0.846229478,https://tmssl.akamaized.net/images/wappen/small/543.png?lm=1467496784,583,341,326,203,54,224,605,381,5180,1402,1935,2348,897,461,104,0,357,336,775,11
7,Sheffield Utd,41,38.9,13,16.4,12,17.4,43.5,33.8,23.18609274,11.25005683,11.93603591,0.685979075,https://tmssl.akamaized.net/images/wappen/small/350.png?lm=1409254138,501,303,268,167,66,157,474,317,4899,1372,1633,2078,1188,457,100,2,357,321,941,11
8,Tottenham,47,38.5,15,18,25,24.7,52.7,42.7,48.42973409,20.41534458,28.01438951,1.13418581,https://tmssl.akamaized.net/images/wappen/small/148.png?lm=1544345801,554,358,272,232,50,173,560,387,5054,1425,1817,2247,990,512,134,2,378,265,852,8
9,Arsenal,40,36.2,20,23,16,17.8,55.7,40.8,52.12307508,29.38310605,22.73996903,1.27752635,https://tmssl.akamaized.net/images/wappen/small/11.png?lm=1489787850,469,292,255,157,57,161,463,302,4745,1263,1770,2037,938,455,117,2,338,242,724,6
10,Burnley,34,33.3,19,17,21,19,40.2,36,19.64820841,9.278320639,10.36988777,0.545783567,https://tmssl.akamaized.net/images/wappen/small/1132.png?lm=1587809239,454,269,201,190,63,171,485,314,4707,1179,,2097,1216,542,142,2,400,296,972,4
